Twelve Monkeys 	1995	260199	8.1	0000001321	Twelve Monkeys (1995)
A Beautiful Mind 	2001	259038	8.0	0000001321	A Beautiful Mind (2001)
Apocalypse Now 	1979	255936	8.5	0000001223	Apocalypse Now (1979)
Jurassic Park 	1993	255015	8.0	0000001311	Jurassic Park (1993)
El laberinto del fauno 	2006	253881	8.3	0000001222	El laberinto del fauno (2006)
The Hunger Games 	2012	251891	7.3	0000012212	The Hunger Games (2012)
The Matrix Reloaded 	2003	250567	7.1	0000012211	The Matrix Reloaded (2003)
The Curious Case of Benjamin Button 	2008	248161	7.8	0000001221	The Curious Case of Benjamin Button (2008)
Full Metal Jacket 	1987	247989	8.3	0000001222	Full Metal Jacket (1987)
Trainspotting 	1996	247407	8.1	0000001222	Trainspotting (1996)
Toy Story 3 	2010	246591	8.4	0000001223	Toy Story 3 (2010)
Ratatouille 	2007	245220	8.0	0000001222	Ratatouille (2007)
L.A. Confidential 	1997	244945	8.3	0000001222	L.A. Confidential (1997)
Monsters, Inc. 	2001	244896	8.0	0000001321	Monsters, Inc. (2001)
Million Dollar Baby 	2004	242893	8.1	0000001221	Million Dollar Baby (2004)
The Social Network 	2010	242488	7.9	0000001321	The Social Network (2010)
Fargo 	1996	238741	8.2	0000001222	Fargo (1996)
Heat 	1995	238258	8.2	0000001222	Heat (1995)
Casablanca 	1942	235783	8.6	0000000123	Casablanca (1942)
Children of Men 	2006	235636	8.0	0000001222	Children of Men (2006)
Superbad 	2007	235079	7.7	0000001212	Superbad (2007)
The Pianist 	2002	232059	8.4	0000000232	The Pianist (2002)
2001: A Space Odyssey 	1968	229720	8.3	0000001123	2001: A Space Odyssey (1968)
Big Fish 	2003	229258	8.0	0000001222	Big Fish (2003)
Minority Report 	2002	228782	7.7	0000002311	Minority Report (2002)
Groundhog Day 	1993	228635	8.1	0000001321	Groundhog Day (1993)
Monty Python and the Holy Grail 	1975	223846	8.3	0000001223	Monty Python and the Holy Grail (1975)
The Bourne Identity 	2002	222784	7.9	0000002311	The Bourne Identity (2002)
Lock, Stock and Two Smoking Barrels 	1998	222033	8.1	0000001222	Lock, Stock and Two Smoking Barrels (1998)
Harry Potter and the Deathly Hallows: Part 2 	2011	220212	8.0	0000001223	Harry Potter and the Deathly Hallows: Part 2 (2011)
Shaun of the Dead 	2004	219979	8.0	0000001222	Shaun of the Dead (2004)
Psycho 	1960	219231	8.6	0000001222	Psycho (1960)
Little Miss Sunshine 	2006	217550	7.9	0000001222	Little Miss Sunshine (2006)
Jaws 	1975	216466	8.2	0000001222	Jaws (1975)
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb 	1964	213995	8.5	0000000123	Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)
The Matrix Revolutions 	2003	213769	6.6	0000012101	The Matrix Revolutions (2003)
Iron Man 2 	2010	212950	7.1	0000013210	Iron Man 2 (2010)
Live Free or Die Hard 	2007	212791	7.4	0000012211	Live Free or Die Hard (2007)
Harry Potter and the Chamber of Secrets 	2002	210961	7.2	0000012211	Harry Potter and the Chamber of Secrets (2002)
Blood Diamond 	2006	209912	8.0	0000001321	Blood Diamond (2006)
Troy 	2004	209321	7.1	0000012211	Troy (2004)
12 Angry Men 	1957	208685	8.9	0000000133	12 Angry Men (1957)
X2 	2003	206693	7.6	0000002311	X2 (2003)
Rain Man 	1988	205241	8.0	0000001321	Rain Man (1988)
Mystic River 	2003	204817	8.0	0000001321	Mystic River (2003)
Harry Potter and the Goblet of Fire 	2005	204634	7.6	0000002211	Harry Potter and the Goblet of Fire (2005)
